
step 0: train loss 6.1854 BPC, val loss 6.1780 BPC
iter 3140: loss 1.4281 BPC, time 57.58ms, mfu 6.32%
iter 3150: loss 1.4389 BPC, time 55.90ms, mfu 6.36%
iter 3160: loss 1.4591 BPC, time 56.96ms, mfu 6.37%
iter 3170: loss 1.3839 BPC, time 58.15ms, mfu 6.38%
iter 3180: loss 1.4103 BPC, time 58.13ms, mfu 6.38%
iter 3190: loss 1.4335 BPC, time 58.04ms, mfu 6.39%
iter 3200: loss 1.3961 BPC, time 55.71ms, mfu 6.42%
iter 3210: loss 1.3853 BPC, time 58.64ms, mfu 6.41%
iter 3220: loss 1.3841 BPC, time 58.64ms, mfu 6.40%
iter 3230: loss 1.3678 BPC, time 57.18ms, mfu 6.42%
iter 3240: loss 1.3724 BPC, time 56.96ms, mfu 6.43%
step 3250: train loss 1.1911 BPC, val loss 2.2242 BPC
iter 3250: loss 1.4055 BPC, time 7558.65ms, mfu 5.79%
iter 3260: loss 1.3924 BPC, time 57.46ms, mfu 5.86%
iter 3270: loss 1.4141 BPC, time 56.86ms, mfu 5.93%
iter 3280: loss 1.3822 BPC, time 56.28ms, mfu 6.00%
iter 3290: loss 1.3728 BPC, time 58.34ms, mfu 6.04%
iter 3300: loss 1.3480 BPC, time 56.29ms, mfu 6.10%
iter 3310: loss 1.3836 BPC, time 57.72ms, mfu 6.13%
iter 3320: loss 1.3813 BPC, time 57.90ms, mfu 6.16%
iter 3330: loss 1.3799 BPC, time 56.91ms, mfu 6.20%
iter 3340: loss 1.3687 BPC, time 57.79ms, mfu 6.22%
iter 3350: loss 1.3867 BPC, time 56.27ms, mfu 6.26%
iter 3360: loss 1.3400 BPC, time 56.34ms, mfu 6.30%
iter 3370: loss 1.3872 BPC, time 57.57ms, mfu 6.32%
iter 3380: loss 1.3731 BPC, time 58.04ms, mfu 6.33%
iter 3390: loss 1.3681 BPC, time 56.33ms, mfu 6.36%
iter 3400: loss 1.3809 BPC, time 57.71ms, mfu 6.37%
iter 3410: loss 1.3569 BPC, time 57.49ms, mfu 6.38%
iter 3420: loss 1.3767 BPC, time 58.68ms, mfu 6.37%
iter 3430: loss 1.3749 BPC, time 56.26ms, mfu 6.40%
iter 3440: loss 1.3967 BPC, time 56.77ms, mfu 6.42%
iter 3450: loss 1.3804 BPC, time 58.08ms, mfu 6.42%
iter 3460: loss 1.3643 BPC, time 56.73ms, mfu 6.43%
iter 3470: loss 1.3471 BPC, time 57.96ms, mfu 6.43%
iter 3480: loss 1.3780 BPC, time 58.39ms, mfu 6.43%
iter 3490: loss 1.3322 BPC, time 58.06ms, mfu 6.43%
step 3500: train loss 1.1300 BPC, val loss 2.2494 BPC
iter 3500: loss 1.3268 BPC, time 7563.10ms, mfu 5.79%
iter 3510: loss 1.3254 BPC, time 58.01ms, mfu 5.85%
iter 3520: loss 1.3328 BPC, time 58.65ms, mfu 5.90%
iter 3530: loss 1.3757 BPC, time 57.77ms, mfu 5.96%
iter 3540: loss 1.3274 BPC, time 56.30ms, mfu 6.02%
iter 3550: loss 1.3353 BPC, time 56.54ms, mfu 6.08%
iter 3560: loss 1.3718 BPC, time 58.09ms, mfu 6.11%
iter 3570: loss 1.3550 BPC, time 56.68ms, mfu 6.16%
iter 3580: loss 1.3356 BPC, time 58.34ms, mfu 6.18%
iter 3590: loss 1.3215 BPC, time 57.72ms, mfu 6.21%
iter 3600: loss 1.3366 BPC, time 58.21ms, mfu 6.23%
iter 3610: loss 1.3168 BPC, time 56.41ms, mfu 6.27%
iter 3620: loss 1.3165 BPC, time 58.46ms, mfu 6.28%
iter 3630: loss 1.3330 BPC, time 58.29ms, mfu 6.29%
iter 3640: loss 1.3261 BPC, time 57.31ms, mfu 6.31%
iter 3650: loss 1.3320 BPC, time 55.74ms, mfu 6.35%
iter 3660: loss 1.3486 BPC, time 58.10ms, mfu 6.35%
iter 3670: loss 1.3610 BPC, time 56.91ms, mfu 6.37%
iter 3680: loss 1.3002 BPC, time 57.55ms, mfu 6.38%
iter 3690: loss 1.3488 BPC, time 58.29ms, mfu 6.38%
iter 3700: loss 1.2750 BPC, time 58.61ms, mfu 6.38%
