
step 0: train loss 6.1854 BPC, val loss 6.1780 BPC
iter 2870: loss 1.4508 BPC, time 62.35ms, mfu 5.70%
iter 2880: loss 1.4907 BPC, time 64.98ms, mfu 5.71%
iter 2890: loss 1.4442 BPC, time 66.16ms, mfu 5.70%
iter 2900: loss 1.4331 BPC, time 63.85ms, mfu 5.71%
iter 2910: loss 1.4985 BPC, time 61.91ms, mfu 5.74%
iter 2920: loss 1.4561 BPC, time 62.06ms, mfu 5.77%
iter 2930: loss 1.4255 BPC, time 62.13ms, mfu 5.79%
iter 2940: loss 1.4261 BPC, time 64.87ms, mfu 5.79%
iter 2950: loss 1.4743 BPC, time 61.56ms, mfu 5.81%
iter 2960: loss 1.4406 BPC, time 64.50ms, mfu 5.81%
iter 2970: loss 1.4185 BPC, time 64.54ms, mfu 5.81%
iter 2980: loss 1.4362 BPC, time 64.31ms, mfu 5.81%
iter 2990: loss 1.4185 BPC, time 62.49ms, mfu 5.82%
step 3000: train loss 1.2472 BPC, val loss 2.1969 BPC
iter 3000: loss 1.4229 BPC, time 8021.34ms, mfu 5.24%
iter 3010: loss 1.4229 BPC, time 61.66ms, mfu 5.32%
iter 3020: loss 1.4396 BPC, time 65.58ms, mfu 5.36%
iter 3030: loss 1.4355 BPC, time 64.46ms, mfu 5.40%
iter 3040: loss 1.4738 BPC, time 62.23ms, mfu 5.46%
iter 3050: loss 1.4091 BPC, time 66.02ms, mfu 5.48%
iter 3060: loss 1.4329 BPC, time 65.60ms, mfu 5.50%
iter 3070: loss 1.4554 BPC, time 64.71ms, mfu 5.52%
iter 3080: loss 1.4397 BPC, time 65.40ms, mfu 5.54%
iter 3090: loss 1.4196 BPC, time 62.57ms, mfu 5.58%
iter 3100: loss 1.4193 BPC, time 65.41ms, mfu 5.59%
iter 3110: loss 1.3931 BPC, time 65.40ms, mfu 5.61%
iter 3120: loss 1.4317 BPC, time 64.92ms, mfu 5.62%
iter 3130: loss 1.4021 BPC, time 66.04ms, mfu 5.62%
iter 3140: loss 1.4030 BPC, time 64.90ms, mfu 5.63%
iter 3150: loss 1.4416 BPC, time 60.86ms, mfu 5.68%
iter 3160: loss 1.4502 BPC, time 66.83ms, mfu 5.67%
iter 3170: loss 1.3917 BPC, time 64.31ms, mfu 5.68%
iter 3180: loss 1.4070 BPC, time 64.24ms, mfu 5.70%
