
step 0: train loss 6.0601 BPC, val loss 6.0586 BPC
iter 1850: loss 1.2566 BPC, time 321.67ms, mfu 7.17%
iter 1860: loss 1.2988 BPC, time 318.90ms, mfu 7.20%
iter 1870: loss 1.2549 BPC, time 317.09ms, mfu 7.23%
iter 1880: loss 1.2587 BPC, time 312.31ms, mfu 7.27%
iter 1890: loss 1.3120 BPC, time 317.80ms, mfu 7.30%
iter 1900: loss 1.2861 BPC, time 319.11ms, mfu 7.31%
iter 1910: loss 1.2863 BPC, time 308.56ms, mfu 7.35%
iter 1920: loss 1.2140 BPC, time 318.81ms, mfu 7.37%
iter 1930: loss 1.2152 BPC, time 313.55ms, mfu 7.39%
iter 1940: loss 1.2665 BPC, time 318.29ms, mfu 7.40%
iter 1950: loss 1.2009 BPC, time 304.66ms, mfu 7.44%
iter 1960: loss 1.2108 BPC, time 320.63ms, mfu 7.44%
iter 1970: loss 1.2392 BPC, time 313.33ms, mfu 7.46%
iter 1980: loss 1.1889 BPC, time 320.23ms, mfu 7.46%
iter 1990: loss 1.1944 BPC, time 315.56ms, mfu 7.47%
step 2000: train loss 1.0586 BPC, val loss 2.4364 BPC
iter 2000: loss 1.2255 BPC, time 35431.35ms, mfu 6.73%
iter 2010: loss 1.1599 BPC, time 313.42ms, mfu 6.82%
iter 2020: loss 1.1704 BPC, time 321.90ms, mfu 6.87%
iter 2030: loss 1.1532 BPC, time 311.26ms, mfu 6.95%
iter 2040: loss 1.1837 BPC, time 326.02ms, mfu 6.99%
iter 2050: loss 1.1665 BPC, time 319.88ms, mfu 7.04%
iter 2060: loss 1.1405 BPC, time 294.41ms, mfu 7.14%
iter 2070: loss 1.1876 BPC, time 315.14ms, mfu 7.18%
iter 2080: loss 1.0821 BPC, time 330.22ms, mfu 7.19%
iter 2090: loss 1.1005 BPC, time 320.39ms, mfu 7.21%
iter 2100: loss 1.1070 BPC, time 318.74ms, mfu 7.24%
iter 2110: loss 1.1143 BPC, time 307.17ms, mfu 7.29%
iter 2120: loss 1.0983 BPC, time 321.85ms, mfu 7.30%
iter 2130: loss 1.0949 BPC, time 305.51ms, mfu 7.35%
iter 2140: loss 1.1173 BPC, time 321.70ms, mfu 7.36%
iter 2150: loss 1.0717 BPC, time 302.60ms, mfu 7.41%
iter 2160: loss 1.0765 BPC, time 324.02ms, mfu 7.41%
iter 2170: loss 1.0401 BPC, time 318.84ms, mfu 7.41%
iter 2180: loss 1.0820 BPC, time 325.51ms, mfu 7.40%
iter 2190: loss 1.0095 BPC, time 304.33ms, mfu 7.45%
iter 2200: loss 1.0391 BPC, time 318.72ms, mfu 7.45%
iter 2210: loss 1.0651 BPC, time 326.99ms, mfu 7.43%
iter 2220: loss 0.9610 BPC, time 321.78ms, mfu 7.43%
iter 2230: loss 0.9749 BPC, time 315.82ms, mfu 7.44%
iter 2240: loss 1.0008 BPC, time 318.59ms, mfu 7.45%
step 2250: train loss 0.8435 BPC, val loss 2.6659 BPC
iter 2250: loss 0.9625 BPC, time 35426.61ms, mfu 6.71%
iter 2260: loss 0.9337 BPC, time 313.81ms, mfu 6.80%
iter 2270: loss 0.9461 BPC, time 320.37ms, mfu 6.86%
iter 2280: loss 1.0065 BPC, time 322.19ms, mfu 6.92%
iter 2290: loss 0.9548 BPC, time 314.65ms, mfu 6.98%
iter 2300: loss 0.9395 BPC, time 321.77ms, mfu 7.02%
iter 2310: loss 0.9330 BPC, time 288.75ms, mfu 7.15%
iter 2320: loss 0.9123 BPC, time 315.52ms, mfu 7.19%
iter 2330: loss 0.9326 BPC, time 324.20ms, mfu 7.21%
iter 2340: loss 0.8848 BPC, time 316.29ms, mfu 7.24%
iter 2350: loss 0.9329 BPC, time 322.86ms, mfu 7.25%
iter 2360: loss 0.8961 BPC, time 311.51ms, mfu 7.29%
iter 2370: loss 0.8775 BPC, time 322.85ms, mfu 7.30%
iter 2380: loss 0.9033 BPC, time 318.63ms, mfu 7.32%
iter 2390: loss 0.9363 BPC, time 318.83ms, mfu 7.34%
iter 2400: loss 0.8846 BPC, time 306.18ms, mfu 7.38%
iter 2410: loss 0.9056 BPC, time 321.17ms, mfu 7.39%
iter 2420: loss 0.8586 BPC, time 314.35ms, mfu 7.41%
iter 2430: loss 0.8790 BPC, time 322.48ms, mfu 7.40%
iter 2440: loss 0.8428 BPC, time 307.40ms, mfu 7.44%
iter 2450: loss 0.8186 BPC, time 321.69ms, mfu 7.44%
iter 2460: loss 0.8141 BPC, time 315.74ms, mfu 7.45%
iter 2470: loss 0.8480 BPC, time 321.49ms, mfu 7.44%
iter 2480: loss 0.8324 BPC, time 309.81ms, mfu 7.47%
iter 2490: loss 0.8187 BPC, time 316.99ms, mfu 7.47%
step 2500: train loss 0.6265 BPC, val loss 2.9483 BPC
iter 2500: loss 0.7533 BPC, time 35452.49ms, mfu 6.73%
iter 2510: loss 0.7922 BPC, time 325.89ms, mfu 6.79%
iter 2520: loss 0.8092 BPC, time 311.05ms, mfu 6.88%
iter 2530: loss 0.7503 BPC, time 326.09ms, mfu 6.92%
iter 2540: loss 0.7768 BPC, time 308.97ms, mfu 7.00%
iter 2550: loss 0.8297 BPC, time 323.40ms, mfu 7.04%
iter 2560: loss 0.8041 BPC, time 314.68ms, mfu 7.09%
iter 2570: loss 0.7554 BPC, time 324.26ms, mfu 7.12%
iter 2580: loss 0.7791 BPC, time 304.95ms, mfu 7.19%
iter 2590: loss 0.7504 BPC, time 317.06ms, mfu 7.22%
iter 2600: loss 0.7188 BPC, time 306.34ms, mfu 7.28%
iter 2610: loss 0.7343 BPC, time 310.74ms, mfu 7.32%
iter 2620: loss 0.7111 BPC, time 321.84ms, mfu 7.33%
iter 2630: loss 0.7359 BPC, time 318.48ms, mfu 7.34%
iter 2640: loss 0.6811 BPC, time 322.66ms, mfu 7.35%
iter 2650: loss 0.7386 BPC, time 307.53ms, mfu 7.39%
iter 2660: loss 0.6695 BPC, time 321.65ms, mfu 7.39%
iter 2670: loss 0.7556 BPC, time 324.13ms, mfu 7.39%
iter 2680: loss 0.6951 BPC, time 313.39ms, mfu 7.41%
iter 2690: loss 0.6992 BPC, time 325.28ms, mfu 7.40%
iter 2700: loss 0.6069 BPC, time 313.42ms, mfu 7.42%
iter 2710: loss 0.6634 BPC, time 316.47ms, mfu 7.43%
iter 2720: loss 0.6357 BPC, time 316.62ms, mfu 7.44%
iter 2730: loss 0.6233 BPC, time 320.55ms, mfu 7.44%
iter 2740: loss 0.6138 BPC, time 309.54ms, mfu 7.47%
step 2750: train loss 0.4647 BPC, val loss 3.2213 BPC
iter 2750: loss 0.6376 BPC, time 35388.80ms, mfu 6.73%
iter 2760: loss 0.5966 BPC, time 308.74ms, mfu 6.83%
iter 2770: loss 0.5934 BPC, time 325.00ms, mfu 6.88%
iter 2780: loss 0.5645 BPC, time 309.57ms, mfu 6.96%
iter 2790: loss 0.6063 BPC, time 322.73ms, mfu 7.00%
iter 2800: loss 0.6259 BPC, time 287.02ms, mfu 7.13%
iter 2810: loss 0.6002 BPC, time 330.27ms, mfu 7.14%
iter 2820: loss 0.6443 BPC, time 322.49ms, mfu 7.17%
iter 2830: loss 0.5821 BPC, time 311.68ms, mfu 7.22%
iter 2840: loss 0.5896 BPC, time 326.97ms, mfu 7.22%
iter 2850: loss 0.5696 BPC, time 321.96ms, mfu 7.24%
iter 2860: loss 0.5901 BPC, time 321.36ms, mfu 7.26%
iter 2870: loss 0.5285 BPC, time 309.51ms, mfu 7.30%
iter 2880: loss 0.5427 BPC, time 318.40ms, mfu 7.32%
iter 2890: loss 0.5671 BPC, time 292.07ms, mfu 7.41%
iter 2900: loss 0.5055 BPC, time 310.75ms, mfu 7.43%
iter 2910: loss 0.5241 BPC, time 330.68ms, mfu 7.41%
iter 2920: loss 0.5465 BPC, time 308.04ms, mfu 7.44%
iter 2930: loss 0.5008 BPC, time 320.17ms, mfu 7.44%
iter 2940: loss 0.5016 BPC, time 305.59ms, mfu 7.48%
iter 2950: loss 0.5106 BPC, time 316.63ms, mfu 7.48%
iter 2960: loss 0.5232 BPC, time 330.16ms, mfu 7.46%
iter 2970: loss 0.4895 BPC, time 314.30ms, mfu 7.47%
iter 2980: loss 0.4802 BPC, time 320.70ms, mfu 7.47%
iter 2990: loss 0.5045 BPC, time 310.86ms, mfu 7.49%
step 3000: train loss 0.3383 BPC, val loss 3.5769 BPC
iter 3000: loss 0.4851 BPC, time 35399.23ms, mfu 6.75%
iter 3010: loss 0.4832 BPC, time 318.28ms, mfu 6.82%
iter 3020: loss 0.4784 BPC, time 318.76ms, mfu 6.89%
iter 3030: loss 0.4848 BPC, time 305.87ms, mfu 6.98%
iter 3040: loss 0.4762 BPC, time 324.45ms, mfu 7.01%
iter 3050: loss 0.4615 BPC, time 314.60ms, mfu 7.07%
iter 3060: loss 0.4875 BPC, time 319.54ms, mfu 7.11%
iter 3070: loss 0.5046 BPC, time 317.37ms, mfu 7.15%
iter 3080: loss 0.4650 BPC, time 323.12ms, mfu 7.17%
iter 3090: loss 0.4502 BPC, time 305.56ms, mfu 7.24%
iter 3100: loss 0.4644 BPC, time 319.25ms, mfu 7.26%
iter 3110: loss 0.4565 BPC, time 327.13ms, mfu 7.26%
iter 3120: loss 0.4504 BPC, time 315.97ms, mfu 7.29%
iter 3130: loss 0.4410 BPC, time 314.92ms, mfu 7.32%
iter 3140: loss 0.4404 BPC, time 313.26ms, mfu 7.35%
iter 3150: loss 0.4224 BPC, time 321.46ms, mfu 7.35%
iter 3160: loss 0.4523 BPC, time 319.17ms, mfu 7.37%
iter 3170: loss 0.4260 BPC, time 308.01ms, mfu 7.40%
iter 3180: loss 0.4182 BPC, time 314.93ms, mfu 7.42%
iter 3190: loss 0.4088 BPC, time 324.26ms, mfu 7.41%
iter 3200: loss 0.4215 BPC, time 300.68ms, mfu 7.46%
iter 3210: loss 0.4049 BPC, time 322.91ms, mfu 7.46%
iter 3220: loss 0.4281 BPC, time 320.02ms, mfu 7.46%
iter 3230: loss 0.3802 BPC, time 323.21ms, mfu 7.45%
iter 3240: loss 0.3896 BPC, time 297.26ms, mfu 7.51%
step 3250: train loss 0.2558 BPC, val loss 3.8420 BPC
iter 3250: loss 0.4019 BPC, time 35706.10ms, mfu 6.76%
iter 3260: loss 0.3937 BPC, time 327.52ms, mfu 6.81%
iter 3270: loss 0.3979 BPC, time 317.06ms, mfu 6.88%
iter 3280: loss 0.3852 BPC, time 327.91ms, mfu 6.92%
iter 3290: loss 0.3598 BPC, time 317.26ms, mfu 6.98%
iter 3300: loss 0.3694 BPC, time 298.23ms, mfu 7.08%
iter 3310: loss 0.3910 BPC, time 317.97ms, mfu 7.12%
iter 3320: loss 0.3686 BPC, time 320.26ms, mfu 7.16%
iter 3330: loss 0.3825 BPC, time 325.46ms, mfu 7.17%
iter 3340: loss 0.3708 BPC, time 305.05ms, mfu 7.24%
iter 3350: loss 0.3696 BPC, time 321.72ms, mfu 7.25%
iter 3360: loss 0.3565 BPC, time 310.92ms, mfu 7.30%
iter 3370: loss 0.3608 BPC, time 328.93ms, mfu 7.29%
