
iter 2290: loss 1.7661 BPC, time 318.69ms, mfu 7.22%
iter 2300: loss 1.8145 BPC, time 299.28ms, mfu 7.32%
iter 2310: loss 1.8372 BPC, time 320.97ms, mfu 7.35%
iter 2320: loss 1.7865 BPC, time 320.43ms, mfu 7.39%
iter 2330: loss 1.8141 BPC, time 294.84ms, mfu 7.48%
iter 2340: loss 1.8460 BPC, time 319.18ms, mfu 7.50%
iter 2350: loss 1.7206 BPC, time 301.46ms, mfu 7.57%
iter 2360: loss 1.7636 BPC, time 320.46ms, mfu 7.58%
iter 2370: loss 1.7696 BPC, time 322.77ms, mfu 7.58%
iter 2380: loss 1.6852 BPC, time 315.40ms, mfu 7.60%
iter 2390: loss 1.7693 BPC, time 324.35ms, mfu 7.60%
iter 2400: loss 1.7486 BPC, time 309.25ms, mfu 7.63%
iter 2410: loss 1.6841 BPC, time 326.35ms, mfu 7.62%
iter 2420: loss 1.8599 BPC, time 315.74ms, mfu 7.64%
iter 2430: loss 1.8419 BPC, time 323.54ms, mfu 7.63%
iter 2440: loss 1.7126 BPC, time 311.70ms, mfu 7.66%
iter 2450: loss 1.7479 BPC, time 325.38ms, mfu 7.65%
iter 2460: loss 1.7866 BPC, time 303.24ms, mfu 7.69%
iter 2470: loss 1.7432 BPC, time 324.25ms, mfu 7.68%
iter 2480: loss 1.7617 BPC, time 316.99ms, mfu 7.69%
iter 2490: loss 1.6990 BPC, time 310.65ms, mfu 7.71%
step 2500: train loss 1.6836 BPC, val loss 1.7035 BPC
saving checkpoint to out-enwik-char
iter 2500: loss 1.7130 BPC, time 39015.51ms, mfu 6.95%
iter 2510: loss 1.6594 BPC, time 315.45ms, mfu 7.03%
iter 2520: loss 1.7433 BPC, time 317.69ms, mfu 7.10%
iter 2530: loss 1.7401 BPC, time 310.59ms, mfu 7.18%
iter 2540: loss 1.7535 BPC, time 305.88ms, mfu 7.27%
iter 2550: loss 1.7396 BPC, time 322.93ms, mfu 7.30%
